open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1777960800000,2378.93,2380.21,2365.77,2377.77,133445.898,1777964399999,316600620.18237,145165,63235.780,150043338.58269,0
1777964400000,2377.77,2387.50,2374.75,2379.17,132244.726,1777967999999,314991139.87894,154759,62085.062,147889078.14134,0
1777968000000,2379.16,2383.25,2371.36,2375.50,88431.923,1777971599999,210147743.00791,100084,45026.453,106992457.35970,0
1777971600000,2375.51,2375.57,2365.14,2368.61,106395.367,1777975199999,252058097.87111,124996,46939.154,111199729.35160,0
1777975200000,2368.62,2378.34,2366.11,2377.17,107950.318,1777978799999,256183477.21057,118292,60887.647,144497401.67234,0
1777978800000,2377.16,2383.57,2371.35,2378.65,88471.274,1777982399999,210341094.59102,119634,46077.586,109565526.66542,0
1777982400000,2378.65,2389.44,2374.95,2387.13,138925.860,1777985999999,331327216.17082,169576,73641.858,175643968.50070,0
1777986000000,2387.13,2398.88,2381.64,2387.09,336019.678,1777989599999,803540482.31977,372055,174462.045,417302307.27215,0
1777989600000,2387.09,2391.48,2366.96,2377.28,424037.183,1777993199999,1008023416.84875,410610,196444.486,467038680.21066,0
1777993200000,2377.28,2386.71,2374.00,2379.84,156413.901,1777996799999,372518289.73146,187594,73798.474,175772648.97909,0
1777996800000,2379.84,2381.98,2358.70,2364.49,268302.154,1778000399999,635303700.14843,249308,123972.327,293569785.97798,0
1778000400000,2364.48,2369.15,2358.16,2361.74,155366.752,1778003999999,367178785.29209,148246,79138.770,187077956.55314,0
1778004000000,2361.74,2373.59,2361.74,2370.88,111669.524,1778007599999,264561392.63741,122976,61433.512,145527652.85408,0
1778007600000,2370.88,2375.00,2368.00,2370.58,73345.080,1778011199999,173900738.17371,92957,36816.151,87299693.42183,0
1778011200000,2370.58,2386.36,2370.01,2381.37,182181.734,1778014799999,433660156.39600,168245,97912.972,233058881.63242,0
1778014800000,2381.38,2387.88,2367.50,2374.27,89581.342,1778018399999,212875682.37899,127264,49049.580,116578183.04468,0
1778018400000,2374.27,2381.18,2352.79,2366.19,241128.775,1778021999999,570430459.85966,267461,108982.855,257896310.53356,0
1778022000000,2366.20,2368.62,2353.04,2359.47,131442.121,1778025599999,310209827.32280,163113,59090.759,139469864.54822,0
1778025600000,2359.47,2366.99,2352.42,2362.99,112860.308,1778029199999,266348209.90401,177678,61709.735,145654268.61481,0
1778029200000,2362.99,2375.63,2361.14,2371.84,98294.885,1778032799999,232945644.24539,148638,50061.229,118642728.05064,0
1778032800000,2371.84,2372.29,2358.15,2368.15,83895.814,1778036399999,198415495.18777,120701,39424.781,93233819.97845,0
1778036400000,2368.15,2379.88,2366.31,2375.32,98538.226,1778039999999,233884263.60108,139323,49739.451,118051517.87109,0
1778040000000,2375.33,2378.11,2359.19,2364.56,114928.701,1778043599999,272181719.94263,133058,45063.983,106732194.71150,0
1778043600000,2364.56,2365.66,2352.50,2363.69,153358.172,1778047199999,361838688.63952,158913,67856.127,160096991.19778,0
1778047200000,2363.69,2370.26,2359.41,2369.31,72397.521,1778050799999,171232593.20012,109041,36914.461,87313276.60843,0
1778050800000,2369.31,2374.00,2367.31,2370.54,83593.805,1778054399999,198187257.96007,110671,44680.969,105935861.29702,0
1778054400000,2370.54,2395.99,2368.06,2393.55,269252.616,1778057999999,641846901.66589,297181,145153.048,346014368.20833,0
1778058000000,2393.54,2417.90,2383.28,2411.55,739244.750,1778061599999,1775035473.17953,528463,432442.203,1038371535.90536,0
1778061600000,2411.56,2413.01,2404.44,2408.55,308883.379,1778065199999,744446558.28726,277817,157829.073,380405595.50257,0
1778065200000,2408.56,2422.52,2405.22,2408.99,370521.272,1778068799999,894195562.89358,358405,184042.540,444231751.80368,0
1778068800000,2408.99,2412.55,2397.22,2404.01,238975.987,1778072399999,574960866.17655,256811,122953.596,295862365.25962,0
1778072400000,2404.01,2404.01,2363.56,2367.36,643100.191,1778075999999,1530916110.09150,599404,301100.198,716827272.62752,0
1778076000000,2367.36,2371.84,2343.27,2358.19,654460.773,1778079599999,1544052118.71506,559203,312992.478,738583602.57380,0
1778079600000,2358.19,2365.00,2353.00,2357.72,198435.434,1778083199999,468002781.78679,234025,105148.560,247981340.82703,0
1778083200000,2357.71,2368.58,2349.23,2356.70,231284.706,1778086799999,545260359.93191,225382,117361.830,276752393.91402,0
1778086800000,2356.71,2359.82,2346.05,2348.35,161698.955,1778090399999,380259726.96323,161952,80971.534,190427076.24536,0
1778090400000,2348.36,2351.59,2335.17,2343.84,250921.915,1778093999999,588270773.37210,223470,106771.016,250334928.62430,0
